12030000;Deutsche Kreditbank;0
12030000;Deutsche Kreditbank;0
12030000;Deutsche Kreditbank;0
12030000;Deutsche Kreditbank;0
12030000;Deutsche Kreditbank;0
12030000;Deutsche Kreditbank;0
12030000;Deutsche Kreditbank;0
12030000;Deutsche Kreditbank (Gf P2);0
12030000;Deutsche Kreditbank (Gf P3);0
12030900;Merck Finck & Co;10
12040000;Commerzbank Berlin Ost;13
12050555;NLB FinanzIT;9
12060000;DZ BANK;9
12070000;Deutsche Bank Ld Brandenburg;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070000;Deutsche Bank;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
